Surveyor,Route,Cross(%),Latitude,Longitude,GPStime
joey,Cross & Running,-0.3,34.08673400089292,-117.6889123845033,06/10/2022 11:14:07:AM
joey,Cross & Running,-0.4,34.08673494356393,-117.6889118766838,06/10/2022 11:14:06:AM
joey,Cross & Running,-0.4,34.08674258178136,-117.6889152132198,06/10/2022 11:14:05:AM
joey,Cross & Running,-0.4,34.08675678161926,-117.6889207541271,06/10/2022 11:14:04:AM
joey,Cross & Running,-0.5,34.08675678161926,-117.6889207541271,06/10/2022 11:14:03:AM
joey,Cross & Running,-0.5,34.0867561353334,-117.6889209784177,06/10/2022 11:14:02:AM
joey,Cross & Running,-0.3,34.0867515755924,-117.6889293710445,06/10/2022 11:14:01:AM
joey,Cross & Running,-0.1,34.08674934804111,-117.688921108524,06/10/2022 11:14:00:AM
joey,Cross & Running,0.4,34.08674528634388,-117.688929653051,06/10/2022 11:13:59:AM
joey,Cross & Running,0.5,34.08674497100748,-117.6889238389896,06/10/2022 11:13:58:AM
joey,Cross & Running,0.6,34.08674221986939,-117.6889222544495,06/10/2022 11:13:57:AM
joey,Cross & Running,0.7,34.08674170085377,-117.6889176255981,06/10/2022 11:13:56:AM
joey,Cross & Running,0.9,34.08674466377146,-117.6889219037486,06/10/2022 11:13:55:AM
joey,Cross & Running,0.6,34.08674171329882,-117.6889250932164,06/10/2022 11:13:54:AM
joey,Cross & Running,0.7,34.08674247916102,-117.6889221917831,06/10/2022 11:13:53:AM
joey,Cross & Running,1,34.08674529649809,-117.688919556643,06/10/2022 11:13:52:AM
joey,Cross & Running,1,34.0867438819858,-117.6889218036556,06/10/2022 11:13:51:AM
joey,Cross & Running,1,34.0867470948944,-117.6889225788577,06/10/2022 11:13:50:AM
joey,Cross & Running,1.6,34.08675503320401,-117.6889276706678,06/10/2022 11:13:49:AM
joey,Cross & Running,1.6,34.08676029200713,-117.688921882844,06/10/2022 11:13:48:AM
joey,Cross & Running,2,34.08677526558725,-117.6889180619268,06/10/2022 11:13:47:AM
joey,Cross & Running,1.8,34.08677127249442,-117.6889027407227,06/10/2022 11:13:46:AM
joey,Cross & Running,1.4,34.08677805195907,-117.6888927826862,06/10/2022 11:13:45:AM
joey,Cross & Running,1.9,34.0867853842245,-117.6888811824226,06/10/2022 11:13:44:AM
joey,Cross & Running,2.1,34.08679293667468,-117.6888772359096,06/10/2022 11:13:43:AM
joey,Cross & Running,2.4,34.0867961797995,-117.6888705452576,06/10/2022 11:13:42:AM
joey,Cross & Running,2.5,34.08679794110368,-117.6888593278284,06/10/2022 11:13:41:AM
joey,Cross & Running,2.3,34.08679534615027,-117.6888419886204,06/10/2022 11:13:40:AM
joey,Cross & Running,2.3,34.08680236886072,-117.6888371088058,06/10/2022 11:13:39:AM
joey,Cross & Running,1.6,34.08680947944719,-117.6888282972894,06/10/2022 11:13:38:AM
joey,Cross & Running,3.1,34.08682935543744,-117.6889469686565,06/10/2022 11:13:04:AM
joey,Cross & Running,3.1,34.08682746976335,-117.6889463415705,06/10/2022 11:13:03:AM
joey,Cross & Running,3,34.08682011366837,-117.6889434603193,06/10/2022 11:13:02:AM
joey,Cross & Running,2.2,34.08682697902191,-117.6889473541267,06/10/2022 11:13:01:AM
joey,Cross & Running,1.9,34.08683426059062,-117.6889556814207,06/10/2022 11:13:00:AM
joey,Cross & Running,1.8,34.08683888403915,-117.6889613981245,06/10/2022 11:12:59:AM
joey,Cross & Running,0.8,34.08683984587029,-117.6889548397289,06/10/2022 11:12:58:AM
joey,Cross & Running,-2.1,34.08685186083742,-117.6889667419996,06/10/2022 11:12:57:AM
joey,Cross & Running,-1.5,34.08685641520431,-117.6889802108734,06/10/2022 11:12:54:AM
joey,Cross & Running,-1.6,34.08685641520431,-117.6889802108734,06/10/2022 11:12:53:AM
joey,Cross & Running,-1.7,34.0868557683489,-117.6889801784039,06/10/2022 11:12:52:AM
joey,Cross & Running,-4.1,34.0868460542555,-117.6890071989149,06/10/2022 11:12:38:AM
joey,Cross & Running,-4.1,34.08684206235025,-117.6890072089759,06/10/2022 11:12:37:AM
joey,Cross & Running,-4,34.08683968404833,-117.6890010683935,06/10/2022 11:12:36:AM
joey,Cross & Running,-3.6,34.0868362933258,-117.688994547921,06/10/2022 11:12:35:AM
joey,Cross & Running,-3.6,34.08682512118052,-117.6889837312336,06/10/2022 11:12:34:AM
joey,Cross & Running,-3.3,34.0868213789842,-117.6889741958194,06/10/2022 11:12:33:AM
joey,Cross & Running,-3.1,34.08681711435634,-117.6889671669423,06/10/2022 11:12:32:AM
joey,Cross & Running,-3.1,34.08681352230419,-117.6889741210848,06/10/2022 11:12:31:AM
joey,Cross & Running,-3.3,34.08680578674246,-117.6889563451154,06/10/2022 11:12:30:AM
joey,Cross & Running,-4.5,34.08679401341941,-117.6889515838522,06/10/2022 11:12:29:AM
joey,Cross & Running,-7.1,34.08679203628465,-117.6889449141137,06/10/2022 11:12:28:AM
joey,Cross & Running,-7.5,34.08680100992674,-117.6889353032594,06/10/2022 11:12:27:AM
joey,Cross & Running,-7,34.08680094543702,-117.6889302794397,06/10/2022 11:12:26:AM
joey,Cross & Running,-6.3,34.08680448333544,-117.688915246348,06/10/2022 11:12:25:AM
joey,Cross & Running,-5.7,34.08680454373523,-117.6889039102812,06/10/2022 11:12:24:AM
joey,Cross & Running,-5.4,34.08680187339164,-117.6888870059611,06/10/2022 11:12:23:AM
joey,Cross & Running,-5.3,34.08680234106951,-117.6888792531337,06/10/2022 11:12:22:AM
joey,Cross & Running,-7.4,34.08680736950121,-117.6888714712715,06/10/2022 11:12:21:AM
joey,Cross & Running,-8.3,34.08680991874276,-117.6888696339413,06/10/2022 11:12:20:AM
joey,Cross & Running,-9.6,34.08681332260551,-117.6888562969331,06/10/2022 11:12:19:AM
joey,Cross & Running,-8.8,34.08682219267633,-117.6888472283664,06/10/2022 11:12:18:AM
joey,Cross & Running,-6.8,34.08682325301626,-117.6888437803193,06/10/2022 11:12:17:AM
joey,Cross & Running,-4.4,34.08682413640629,-117.6888286821357,06/10/2022 11:12:16:AM
joey,Cross & Running,-0.7,34.08682676042913,-117.6888305424726,06/10/2022 11:12:15:AM
joey,Cross & Running,-0.2,34.08682220894597,-117.6888308179986,06/10/2022 11:12:14:AM
joey,Cross & Running,0,34.08682297955267,-117.6888337029496,06/10/2022 11:12:13:AM
joey,Cross & Running,-0.6,34.08683204311703,-117.6888346253915,06/10/2022 11:12:12:AM
joey,Cross & Running,-0.7,34.08682925952474,-117.6888316597755,06/10/2022 11:12:11:AM
joey,Cross & Running,-0.4,34.08682672552977,-117.6888310633906,06/10/2022 11:12:10:AM
joey,Cross & Running,-0.4,34.08682672552977,-117.6888310633906,06/10/2022 11:12:09:AM
joey,Cross & Running,-0.4,34.08682672552977,-117.6888310633906,06/10/2022 11:12:08:AM
joey,Cross & Running,-0.3,34.08682672552977,-117.6888310633906,06/10/2022 11:12:05:AM
joey,Cross & Running,-2.3,34.08697615055765,-117.6886585459006,06/10/2022 11:10:00:AM
joey,Cross & Running,-2.3,34.08697589472114,-117.688656816631,06/10/2022 11:09:59:AM
joey,Cross & Running,-2.3,34.08697343800524,-117.6886529863865,06/10/2022 11:09:58:AM
joey,Cross & Running,-2.6,34.08697809096679,-117.6886480160656,06/10/2022 11:09:57:AM
joey,Cross & Running,-2.7,34.08697351094996,-117.6886438824231,06/10/2022 11:09:56:AM
joey,Cross & Running,-2.9,34.08697307715519,-117.6886449222208,06/10/2022 11:09:55:AM
joey,Cross & Running,-3,34.08697930262883,-117.6886465646772,06/10/2022 11:09:54:AM
joey,Cross & Running,-2.9,34.08697708825575,-117.6886372679359,06/10/2022 11:09:53:AM
joey,Cross & Running,-2.4,34.08697714368846,-117.6886381380683,06/10/2022 11:09:52:AM
joey,Cross & Running,-2.2,34.08696978063477,-117.688634616044,06/10/2022 11:09:51:AM
joey,Cross & Running,-2.4,34.08697604176806,-117.6886348796169,06/10/2022 11:09:50:AM
joey,Cross & Running,-3.5,34.08696861077448,-117.6886077274565,06/10/2022 11:09:49:AM
joey,Cross & Running,-3.9,34.08696861077448,-117.6886077274565,06/10/2022 11:09:48:AM
joey,Cross & Running,-4,34.08696861077448,-117.6886077274565,06/10/2022 11:09:47:AM
joey,Cross & Running,-2.4,34.08700598401818,-117.6886471145505,06/10/2022 11:09:20:AM
joey,Cross & Running,-2.4,34.08700983318467,-117.6886475848617,06/10/2022 11:09:19:AM
joey,Cross & Running,-2.4,34.08700954509953,-117.6886432360247,06/10/2022 11:09:18:AM
joey,Cross & Running,-2.3,34.0870074917103,-117.6886347367964,06/10/2022 11:09:17:AM
joey,Cross & Running,-2.1,34.08700760200092,-117.6886224020951,06/10/2022 11:09:16:AM
joey,Cross & Running,-1.9,34.08700929064528,-117.6886230414884,06/10/2022 11:09:15:AM
joey,Cross & Running,-2.3,34.08701350367978,-117.6886080673307,06/10/2022 11:09:14:AM
joey,Cross & Running,-2.4,34.08701850079157,-117.6885953556043,06/10/2022 11:09:13:AM
joey,Cross & Running,-2.3,34.08700751149884,-117.6885889450655,06/10/2022 11:09:12:AM
joey,Cross & Running,-2.6,34.08700751149884,-117.6885889450655,06/10/2022 11:09:11:AM
joey,Cross & Running,-2.6,34.08700368189529,-117.6885915230458,06/10/2022 11:09:10:AM
joey,Cross & Running,-2.4,34.08702881929665,-117.688609121252,06/10/2022 11:08:58:AM
joey,Cross & Running,-2.2,34.0870286599646,-117.6886107938864,06/10/2022 11:08:57:AM
joey,Cross & Running,-1.9,34.08703572988691,-117.6886124719613,06/10/2022 11:08:56:AM
joey,Cross & Running,-1.3,34.08703373460419,-117.6886120786654,06/10/2022 11:08:55:AM
joey,Cross & Running,-1.4,34.08703016957899,-117.6886249051326,06/10/2022 11:08:54:AM
joey,Cross & Running,-1.7,34.08702210674559,-117.6886288705757,06/10/2022 11:08:53:AM
joey,Cross & Running,-1.8,34.0870279967056,-117.6886331030513,06/10/2022 11:08:52:AM
joey,Cross & Running,-1.8,34.08702747971545,-117.6886342777508,06/10/2022 11:08:51:AM
joey,Cross & Running,-1.9,34.08702876647843,-117.6886380567101,06/10/2022 11:08:50:AM
joey,Cross & Running,-1.8,34.08703149968002,-117.6886273621399,06/10/2022 11:08:47:AM
joey,Cross & Running,-1.9,34.08703143103721,-117.6886281708942,06/10/2022 11:08:46:AM
joey,Cross & Running,-2.8,34.0870285139323,-117.6886271808502,06/10/2022 11:08:45:AM
joey,Cross & Running,16.5,34.08702021921719,-117.6885906842575,06/10/2022 11:08:28:AM
joey,Cross & Running,-3.1,34.08702021921719,-117.6885906842575,06/10/2022 11:08:23:AM
joey,Cross & Running,-3.2,34.08702021921719,-117.6885906842575,06/10/2022 11:08:22:AM
joey,Cross & Running,-3.2,34.0870155228757,-117.6885912833994,06/10/2022 11:08:21:AM
joey,Cross & Running,-3.4,34.0870131477205,-117.6885925331194,06/10/2022 11:08:20:AM
joey,Cross & Running,-3.4,34.08701254760529,-117.6885908010597,06/10/2022 11:08:19:AM
joey,Cross & Running,-3.5,34.08702036298116,-117.6886012028005,06/10/2022 11:08:18:AM
joey,Cross & Running,-3.3,34.08701597385043,-117.6886053302336,06/10/2022 11:08:17:AM
joey,Cross & Running,-1.2,34.08702148537326,-117.6885916475414,06/10/2022 11:08:16:AM
joey,Cross & Running,1.8,34.08701809001151,-117.6885898990211,06/10/2022 11:08:15:AM
joey,Cross & Running,1.7,34.08701081939197,-117.6885956854335,06/10/2022 11:08:14:AM
joey,Cross & Running,0.3,34.08700926459977,-117.6886079886536,06/10/2022 11:08:13:AM
joey,Cross & Running,0.9,34.08700997771828,-117.6886220375838,06/10/2022 11:08:12:AM
joey,Cross & Running,3,34.08701132305956,-117.6886401361589,06/10/2022 11:08:11:AM
joey,Cross & Running,4,34.08701059936368,-117.6886432274508,06/10/2022 11:08:10:AM
joey,Cross & Running,3.6,34.08701039117894,-117.6886425716831,06/10/2022 11:08:09:AM
joey,Cross & Running,4.5,34.08701622812658,-117.6886447971651,06/10/2022 11:08:08:AM
joey,Cross & Running,0.3,34.08702088644827,-117.6886437702147,06/10/2022 11:08:05:AM
joey,Cross & Running,0,34.08702366517576,-117.6886420687459,06/10/2022 11:08:04:AM
joey,Cross & Running,-1.5,34.086874925967,-117.6884965982343,06/10/2022 11:07:14:AM
joey,Cross & Running,-1.5,34.08687518169987,-117.6884966874756,06/10/2022 11:07:13:AM
joey,Cross & Running,-1.5,34.08688315283685,-117.6884942890942,06/10/2022 11:07:12:AM
joey,Cross & Running,-1.6,34.08688963983965,-117.6884856532545,06/10/2022 11:07:11:AM
joey,Cross & Running,-1.6,34.08689241985402,-117.688482292208,06/10/2022 11:07:10:AM
joey,Cross & Running,-1.6,34.08689776931862,-117.6884657505434,06/10/2022 11:07:09:AM
joey,Cross & Running,-2.5,34.08691236232568,-117.6884578767671,06/10/2022 11:07:08:AM
joey,Cross & Running,0.3,34.08690754707234,-117.6884520729858,06/10/2022 11:07:07:AM
joey,Cross & Running,1,34.08691025451301,-117.6884264525859,06/10/2022 11:07:06:AM
joey,Cross & Running,0.7,34.08691626933429,-117.688398318934,06/10/2022 11:07:05:AM
joey,Cross & Running,0.1,34.08691636044492,-117.6883852775526,06/10/2022 11:07:04:AM
joey,Cross & Running,-0.6,34.086915806888,-117.6883940399462,06/10/2022 11:07:03:AM
joey,Cross & Running,-0.2,34.08692232625571,-117.6883942204906,06/10/2022 11:07:02:AM
joey,Cross & Running,0.7,34.08692372909051,-117.6883776306674,06/10/2022 11:07:01:AM
joey,Cross & Running,1.5,34.08694006267974,-117.6883610342006,06/10/2022 11:07:00:AM
joey,Cross & Running,1.6,34.08694800739549,-117.688351376498,06/10/2022 11:06:59:AM
joey,Cross & Running,0.9,34.08694267750575,-117.6883489435589,06/10/2022 11:06:58:AM
joey,Cross & Running,2,34.08695621418256,-117.6883545207652,06/10/2022 11:06:57:AM
joey,Cross & Running,2.5,34.0869686821381,-117.6883522660928,06/10/2022 11:06:56:AM
joey,Cross & Running,1.2,34.08698453986723,-117.6883431398379,06/10/2022 11:06:55:AM
joey,Cross & Running,2.3,34.08698962277958,-117.6883307388105,06/10/2022 11:06:54:AM
joey,Cross & Running,4.1,34.08698948167962,-117.6883213999293,06/10/2022 11:06:53:AM
joey,Cross & Running,5,34.08698811659205,-117.6883192629145,06/10/2022 11:06:52:AM
joey,Cross & Running,4.5,34.08699156616235,-117.6883118032174,06/10/2022 11:06:51:AM
joey,Cross & Running,2.9,34.08700598350986,-117.6882974564417,06/10/2022 11:06:50:AM
joey,Cross & Running,2.8,34.08701398634037,-117.6882823010223,06/10/2022 11:06:49:AM
joey,Cross & Running,2.2,34.08701221223485,-117.6882788847242,06/10/2022 11:06:48:AM
joey,Cross & Running,1.8,34.08700571785322,-117.6882818138868,06/10/2022 11:06:47:AM
joey,Cross & Running,1.3,34.08700112919998,-117.6882849860135,06/10/2022 11:06:46:AM
joey,Cross & Running,1.2,34.08701508995851,-117.6882817882647,06/10/2022 11:06:45:AM
joey,Cross & Running,0.8,34.08702204000327,-117.6882768959925,06/10/2022 11:06:44:AM
joey,Cross & Running,0.3,34.0870453898979,-117.6882732126885,06/10/2022 11:06:43:AM
joey,Cross & Running,-0.3,34.08704659955773,-117.6882695618821,06/10/2022 11:06:42:AM
joey,Cross & Running,1.9,34.08706178540498,-117.6882604419136,06/10/2022 11:06:41:AM
joey,Cross & Running,1.1,34.08707620239681,-117.6882504708869,06/10/2022 11:06:40:AM
joey,Cross & Running,3.4,34.08709346552642,-117.6882387572041,06/10/2022 11:06:39:AM
joey,Cross & Running,6,34.0870977776685,-117.6882441407483,06/10/2022 11:06:38:AM
joey,Cross & Running,5,34.08710933432008,-117.6882479221886,06/10/2022 11:06:37:AM
joey,Cross & Running,4.8,34.08712449364769,-117.6882382293428,06/10/2022 11:06:36:AM
joey,Cross & Running,4.3,34.08711973860474,-117.6882424148888,06/10/2022 11:06:35:AM
joey,Cross & Running,2.6,34.08711957715272,-117.6882365661756,06/10/2022 11:06:34:AM
joey,Cross & Running,2.8,34.08713963993453,-117.6882328635432,06/10/2022 11:06:33:AM
joey,Cross & Running,3.2,34.08714034137806,-117.6882356181131,06/10/2022 11:06:32:AM
joey,Cross & Running,2.6,34.08715486258722,-117.6882396183252,06/10/2022 11:06:31:AM
joey,Cross & Running,3,34.08716826130183,-117.6882427375267,06/10/2022 11:06:30:AM
joey,Cross & Running,2.6,34.08717711309234,-117.6882302968107,06/10/2022 11:06:29:AM
joey,Cross & Running,2.5,34.0871849067944,-117.6882279999727,06/10/2022 11:06:28:AM
joey,Cross & Running,1.4,34.08719475499623,-117.6882257286254,06/10/2022 11:06:27:AM
joey,Cross & Running,2.8,34.08721618177787,-117.6882207302323,06/10/2022 11:06:26:AM
joey,Cross & Running,3.8,34.08722538009026,-117.6882181339149,06/10/2022 11:06:25:AM
joey,Cross & Running,4.8,34.08723143276514,-117.6882117841574,06/10/2022 11:06:24:AM
joey,Cross & Running,4.7,34.08724295421151,-117.6881998942445,06/10/2022 11:06:23:AM
joey,Cross & Running,4.2,34.08725451216487,-117.6882092750573,06/10/2022 11:06:22:AM
joey,Cross & Running,2.7,34.08725941641174,-117.6882072978078,06/10/2022 11:06:21:AM
joey,Cross & Running,1.3,34.08726346707836,-117.6882020301925,06/10/2022 11:06:20:AM
joey,Cross & Running,0.9,34.08727078208209,-117.6882047304617,06/10/2022 11:06:19:AM
joey,Cross & Running,0.5,34.0872916476287,-117.6882004429832,06/10/2022 11:06:18:AM
joey,Cross & Running,0.9,34.08728998543474,-117.6882078109892,06/10/2022 11:06:17:AM
joey,Cross & Running,1,34.08729111152658,-117.6882058585342,06/10/2022 11:06:16:AM
joey,Cross & Running,0.9,34.08729923945286,-117.6881995366958,06/10/2022 11:06:15:AM
joey,Cross & Running,0.4,34.08731094953317,-117.6881924402132,06/10/2022 11:06:14:AM
joey,Cross & Running,1.5,34.0873317218033,-117.6881879081415,06/10/2022 11:06:13:AM
joey,Cross & Running,2,34.08734330507098,-117.6881843834973,06/10/2022 11:06:12:AM
joey,Cross & Running,2.1,34.08734411257706,-117.6881847100834,06/10/2022 11:06:11:AM
joey,Cross & Running,1.9,34.08735394427889,-117.688182826159,06/10/2022 11:06:10:AM
joey,Cross & Running,1.5,34.08736289976751,-117.6881797993781,06/10/2022 11:06:09:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:06:04:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:06:02:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:56:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:54:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:47:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:05:46:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:05:45:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:42:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:41:AM
joey,Cross & Running,1.8,34.08731376007187,-117.688119868458,06/10/2022 11:05:39:AM
joey,Cross & Running,1.8,34.08731376007187,-117.688119868458,06/10/2022 11:05:38:AM
joey,Cross & Running,1.6,34.08731376007187,-117.688119868458,06/10/2022 11:05:36:AM
joey,Cross & Running,1.6,34.08731387904845,-117.688120676764,06/10/2022 11:05:35:AM
joey,Cross & Running,1.5,34.08731133041813,-117.6881204947139,06/10/2022 11:05:34:AM
joey,Cross & Running,1.4,34.08731222333474,-117.6881192812021,06/10/2022 11:05:33:AM
joey,Cross & Running,1.8,34.08731214876662,-117.6881182312519,06/10/2022 11:05:32:AM
joey,Cross & Running,1.4,34.0873085927803,-117.6881109249981,06/10/2022 11:05:31:AM
joey,Cross & Running,1.9,34.08730990221741,-117.6881131179692,06/10/2022 11:05:30:AM
joey,Cross & Running,1.9,34.0873222683287,-117.6881024340496,06/10/2022 11:05:29:AM
joey,Cross & Running,1.4,34.08732944422228,-117.6881028367761,06/10/2022 11:05:28:AM
joey,Cross & Running,1.5,34.08749799877936,-117.6881446125256,06/10/2022 11:05:23:AM
joey,Cross & Running,1.5,34.08749799877936,-117.6881446125256,06/10/2022 11:05:22:AM
joey,Cross & Running,1.4,34.08749799877936,-117.6881446125256,06/10/2022 11:05:20:AM
joey,Cross & Running,1.4,34.08749799877936,-117.6881446125256,06/10/2022 11:05:19:AM
